0,1,2,3,4,5,6
1739365098720.0,0.0,0.0,0.0,0.0,0.0,0.0
1739365098720.5034,0.0,0.0,0.0,0.0,0.0,0.0
1739365098721.0068,0.0,0.0,0.0,0.0,0.0,0.0
1739365098721.51,0.0,0.0,0.0,0.0,0.0,0.0
1739365098722.0134,0.0,0.0,0.0,0.0,0.0,0.0
1739365098722.5168,0.0,0.0,0.0,0.0,0.0,0.0
1739365098723.0203,0.0,0.0,0.0,0.0,0.0,0.0
1739365098723.5234,0.0,0.0,0.0,0.0,0.0,0.0
1739365098724.0269,0.0,0.0,0.0,0.0,0.0,0.0
1739365098724.5303,0.0,0.0,0.0,0.0,0.0,0.0
1739365098725.0337,0.0,0.0,0.0,0.0,0.0,0.0
1739365098725.5369,0.0,0.0,0.0,0.0,0.0,0.0
1739365098726.0403,0.0,0.0,0.0,0.0,0.0,0.0
1739365098726.5437,0.0,0.0,0.0,0.0,0.0,0.0
1739365098727.047,0.0,0.0,0.0,0.0,0.0,0.0
1739365098727.5503,0.0,0.0,0.0,0.0,0.0,0.0
1739365098728.0537,0.0,0.0,0.0,0.0,0.0,0.0
1739365098728.5571,0.0,0.0,0.0,0.0,0.0,0.0
1739365098729.0605,0.0,0.0,0.0,0.0,0.0,0.0
1739365098729.5637,0.0,0.0,0.0,0.0,0.0,0.0
1739365098730.0671,0.0,0.0,0.0,0.0,0.0,0.0
1739365098730.5706,0.0,0.0,0.0,0.0,0.0,0.0
1739365098731.074,0.0,0.0,0.0,0.0,0.0,0.0
1739365098731.5771,0.0,0.0,0.0,0.0,0.0,0.0
1739365098732.0806,0.0,0.0,0.0,0.0,0.0,0.0
1739365098732.584,0.0,0.0,0.0,0.0,0.0,0.0
1739365098733.0874,0.0,0.0,0.0,0.0,0.0,0.0
1739365098733.5906,0.0,0.0,0.0,0.0,0.0,0.0
1739365098734.094,0.0,0.0,0.0,0.0,0.0,0.0
1739365098734.5974,0.0,0.0,0.0,0.0,0.0,0.0
1739365098735.1008,0.0,0.0,0.0,0.0,0.0,0.0
1739365098735.604,0.0,0.0,0.0,0.0,0.0,0.0
1739365098736.1074,0.0,0.0,0.0,0.0,0.0,0.0
1739365098736.6108,0.0,0.0,0.0,0.0,0.0,0.0
1739365098737.1143,0.0,0.0,0.0,0.0,0.0,0.0
1739365098737.6174,0.0,0.0,0.0,0.0,0.0,0.0
1739365098738.1208,0.0,0.0,0.0,0.0,0.0,0.0
1739365098738.6243,0.0,0.0,0.0,0.0,0.0,0.0
1739365098739.1277,0.0,0.0,0.0,0.0,0.0,0.0
1739365098739.6309,0.0,0.0,0.0,0.0,0.0,0.0
1739365098740.1343,0.0,0.0,0.0,0.0,0.0,0.0
1739365098740.6377,0.0,0.0,0.0,0.0,0.0,0.0
1739365098741.141,0.0,0.0,0.0,0.0,0.0,0.0
1739365098741.6445,0.0,0.0,0.0,0.0,0.0,0.0
1739365098742.1477,0.0,0.0,0.0,0.0,0.0,0.0
1739365098742.6511,0.0,0.0,0.0,0.0,0.0,0.0
1739365098743.1545,0.0,0.0,0.0,0.0,0.0,0.0
1739365098743.658,0.0,0.0,0.0,0.0,0.0,0.0
1739365098744.1611,0.0,0.0,0.0,0.0,0.0,0.0
1739365098744.6646,0.0,0.0,0.0,0.0,0.0,0.0
1739365098745.168,0.0,0.0,0.0,0.0,0.0,0.0
1739365098745.6714,0.0,0.0,0.0,0.0,0.0,0.0
1739365098746.1746,0.0,0.0,0.0,0.0,0.0,0.0
1739365098746.678,0.0,0.0,0.0,0.0,0.0,0.0
1739365098747.1814,0.0,0.0,0.0,0.0,0.0,0.0
1739365098747.6848,0.0,0.0,0.0,0.0,0.0,0.0
1739365098748.188,0.0,0.0,0.0,0.0,0.0,0.0
1739365098748.6914,0.0,0.0,0.0,0.0,0.0,0.0
1739365098749.1948,0.0,0.0,0.0,0.0,0.0,0.0
1739365098749.6982,0.0,0.0,0.0,0.0,0.0,0.0
1739365098750.2014,0.0,0.0,0.0,0.0,0.0,0.0
1739365098750.7048,0.0,0.0,0.0,0.0,0.0,0.0
1739365098751.2083,0.0,0.0,0.0,0.0,0.0,0.0
1739365098751.7117,0.0,0.0,0.0,0.0,0.0,0.0
1739365098752.2148,0.0,0.0,0.0,0.0,0.0,0.0
1739365098752.7183,0.0,0.0,0.0,0.0,0.0,0.0
1739365098753.2217,0.0,0.0,0.0,0.0,0.0,0.0
1739365098753.725,0.0,0.0,0.0,0.0,0.0,0.0
1739365098754.2283,0.0,0.0,0.0,0.0,0.0,0.0
1739365098754.7317,0.0,0.0,0.0,0.0,0.0,0.0
1739365098755.235,0.0,0.0,0.0,0.0,0.0,0.0
1739365098755.7385,0.0,0.0,0.0,0.0,0.0,0.0
1739365098756.2417,0.0,0.0,0.0,0.0,0.0,0.0
1739365098756.745,0.0,0.0,0.0,0.0,0.0,0.0
1739365098757.2485,0.0,0.0,0.0,0.0,0.0,0.0
1739365098757.752,0.0,0.0,0.0,0.0,0.0,0.0
1739365098758.2551,0.0,0.0,0.0,0.0,0.0,0.0
1739365098758.7585,0.0,0.0,0.0,0.0,0.0,0.0
1739365098759.262,0.0,0.0,0.0,0.0,0.0,0.0
1739365098759.7654,0.0,0.0,0.0,0.0,0.0,0.0
1739365098760.2686,0.0,0.0,0.0,0.0,0.0,0.0
1739365098760.772,0.0,0.0,0.0,0.0,0.0,0.0
1739365098761.2754,0.0,0.0,0.0,0.0,0.0,0.0
1739365098761.7788,0.0,0.0,0.0,0.0,0.0,0.0
1739365098762.2822,0.0,0.0,0.0,0.0,0.0,0.0
1739365098762.7854,0.0,0.0,0.0,0.0,0.0,0.0
1739365098763.2888,0.0,0.0,0.0,0.0,0.0,0.0
1739365098763.7922,0.0,0.0,0.0,0.0,0.0,0.0
1739365098764.2957,0.0,0.0,0.0,0.0,0.0,0.0
1739365098764.7988,0.0,0.0,0.0,0.0,0.0,0.0
1739365098765.3022,0.0,0.0,0.0,0.0,0.0,0.0
1739365098765.8057,0.0,0.0,0.0,0.0,0.0,0.0
1739365098766.309,0.0,0.0,0.0,0.0,0.0,0.0
1739365098766.8123,0.0,0.0,0.0,0.0,0.0,0.0
1739365098767.3157,0.0,0.0,0.0,0.0,0.0,0.0
1739365098767.819,0.0,0.0,0.0,0.0,0.0,0.0
1739365098768.3225,0.0,0.0,0.0,0.0,0.0,0.0
1739365098768.8257,0.0,0.0,0.0,0.0,0.0,0.0
1739365098769.329,0.0,0.0,0.0,0.0,0.0,0.0
1739365098769.8325,0.0,0.0,0.0,0.0,0.0,0.0
1739365098770.336,0.0,0.0,0.0,0.0,0.0,0.0
1739365098770.839,0.0,0.0,0.0,0.0,0.0,0.0
1739365098771.3425,0.0,0.0,0.0,0.0,0.0,0.0
1739365098771.846,0.0,0.0,0.0,0.0,0.0,0.0
1739365098772.3494,0.0,0.0,0.0,0.0,0.0,0.0
1739365098772.8525,0.0,0.0,0.0,0.0,0.0,0.0
1739365098773.356,0.0,0.0,0.0,0.0,0.0,0.0
1739365098773.8594,0.0,0.0,0.0,0.0,0.0,0.0
1739365098774.3628,0.0,0.0,0.0,0.0,0.0,0.0
1739365098774.866,0.0,0.0,0.0,0.0,0.0,0.0
1739365098775.3694,0.0,0.0,0.0,0.0,0.0,0.0
1739365098775.8728,0.0,0.0,0.0,0.0,0.0,0.0
1739365098776.3762,0.0,0.0,0.0,0.0,0.0,0.0
1739365098776.8794,0.0,0.0,0.0,0.0,0.0,0.0
1739365098777.3828,0.0,0.0,0.0,0.0,0.0,0.0
1739365098777.8862,0.0,0.0,0.0,0.0,0.0,0.0
1739365098778.3896,0.0,0.0,0.0,0.0,0.0,0.0
1739365098778.8928,0.0,0.0,0.0,0.0,0.0,0.0
1739365098779.3962,0.0,0.0,0.0,0.0,0.0,0.0
1739365098779.8997,0.0,0.0,0.0,0.0,0.0,0.0
1739365098780.403,0.0,0.0,0.0,0.0,0.0,0.0
1739365098780.9062,0.0,0.0,0.0,0.0,0.0,0.0
1739365098781.4097,0.0,0.0,0.0,0.0,0.0,0.0
1739365098781.913,0.0,0.0,0.0,0.0,0.0,0.0
1739365098782.4165,0.0,0.0,0.0,0.0,0.0,0.0
1739365098782.9197,0.0,0.0,0.0,0.0,0.0,0.0
1739365098783.423,0.0,0.0,0.0,0.0,0.0,0.0
1739365098783.9265,0.0,0.0,0.0,0.0,0.0,0.0
1739365098784.43,0.0,0.0,0.0,0.0,0.0,0.0
1739365098784.9333,0.0,0.0,0.0,0.0,0.0,0.0
1739365098785.4365,0.0,0.0,0.0,0.0,0.0,0.0
1739365098785.94,0.0,0.0,0.0,0.0,0.0,0.0
1739365098786.4434,0.0,0.0,0.0,0.0,0.0,0.0
1739365098786.9468,0.0,0.0,0.0,0.0,0.0,0.0
1739365098787.45,0.0,0.0,0.0,0.0,0.0,0.0
1739365098787.9534,0.0,0.0,0.0,0.0,0.0,0.0
1739365098788.4568,0.0,0.0,0.0,0.0,0.0,0.0
1739365098788.9602,0.0,0.0,0.0,0.0,0.0,0.0
1739365098789.4634,0.0,0.0,0.0,0.0,0.0,0.0
1739365098789.9668,0.0,0.0,0.0,0.0,0.0,0.0
1739365098790.4702,0.0,0.0,0.0,0.0,0.0,0.0
1739365098790.9736,0.0,0.0,0.0,0.0,0.0,0.0
1739365098791.4768,0.0,0.0,0.0,0.0,0.0,0.0
1739365098791.9802,0.0,0.0,0.0,0.0,0.0,0.0
1739365098792.4836,0.0,0.0,0.0,0.0,0.0,0.0
1739365098792.987,0.0,0.0,0.0,0.0,0.0,0.0
1739365098793.4902,0.0,0.0,0.0,0.0,0.0,0.0
1739365098793.9937,0.0,0.0,0.0,0.0,0.0,0.0
1739365098794.497,0.0,0.0,0.0,0.0,0.0,0.0
1739365098795.0005,0.0,0.0,0.0,0.0,0.0,0.0
1739365098795.5037,0.0,0.0,0.0,0.0,0.0,0.0
1739365098796.007,0.0,0.0,0.0,0.0,0.0,0.0
1739365098796.5105,0.0,0.0,0.0,0.0,0.0,0.0
1739365098797.014,0.0,0.0,0.0,0.0,0.0,0.0
1739365098797.517,0.0,0.0,0.0,0.0,0.0,0.0
1739365098798.0205,0.0,0.0,0.0,0.0,0.0,0.0
1739365098798.524,0.0,0.0,0.0,0.0,0.0,0.0
1739365098799.0273,0.0,0.0,0.0,0.0,0.0,0.0
1739365098799.5305,0.0,0.0,0.0,0.0,0.0,0.0
1739365098800.034,0.0,0.0,0.0,0.0,0.0,0.0
1739365098800.5374,0.0,0.0,0.0,0.0,0.0,0.0
1739365098801.0408,0.0,0.0,0.0,0.0,0.0,0.0
1739365098801.544,0.0,0.0,0.0,0.0,0.0,0.0
1739365098802.0474,0.0,0.0,0.0,0.0,0.0,0.0
1739365098802.5508,0.0,0.0,0.0,0.0,0.0,0.0
1739365098803.0542,0.0,0.0,0.0,0.0,0.0,0.0
1739365098803.5574,0.0,0.0,0.0,0.0,0.0,0.0
1739365098804.0608,0.0,0.0,0.0,0.0,0.0,0.0
1739365098804.5642,0.0,0.0,0.0,0.0,0.0,0.0
1739365098805.0676,0.0,0.0,0.0,0.0,0.0,0.0
1739365098805.571,0.0,0.0,0.0,0.0,0.0,0.0
1739365098806.0742,0.0,0.0,0.0,0.0,0.0,0.0
1739365098806.5776,0.0,0.0,0.0,0.0,0.0,0.0
1739365098807.081,0.0,0.0,0.0,0.0,0.0,0.0
1739365098807.5845,0.0,0.0,0.0,0.0,0.0,0.0
1739365098808.0876,0.0,0.0,0.0,0.0,0.0,0.0
1739365098808.591,0.0,0.0,0.0,0.0,0.0,0.0
1739365098809.0945,0.0,0.0,0.0,0.0,0.0,0.0
1739365098809.598,0.0,0.0,0.0,0.0,0.0,0.0
1739365098810.101,0.0,0.0,0.0,0.0,0.0,0.0
1739365098810.6045,0.0,0.0,0.0,0.0,0.0,0.0
1739365098811.108,0.0,0.0,0.0,0.0,0.0,0.0
1739365098811.6113,0.0,0.0,0.0,0.0,0.0,0.0
1739365098812.1145,0.0,0.0,0.0,0.0,0.0,0.0
1739365098812.618,0.0,0.0,0.0,0.0,0.0,0.0
1739365098813.1213,0.0,0.0,0.0,0.0,0.0,0.0
1739365098813.6248,0.0,0.0,0.0,0.0,0.0,0.0
1739365098814.128,0.0,0.0,0.0,0.0,0.0,0.0
1739365098814.6313,0.0,0.0,0.0,0.0,0.0,0.0
1739365098815.1348,0.0,0.0,0.0,0.0,0.0,0.0
1739365098815.6382,0.0,0.0,0.0,0.0,0.0,0.0
1739365098816.1414,0.0,0.0,0.0,0.0,0.0,0.0
1739365098816.6448,0.0,0.0,0.0,0.0,0.0,0.0
1739365098817.1482,0.0,0.0,0.0,0.0,0.0,0.0
1739365098817.6516,0.0,0.0,0.0,0.0,0.0,0.0
1739365098818.1548,0.0,0.0,0.0,0.0,0.0,0.0
1739365098818.6582,0.0,0.0,0.0,0.0,0.0,0.0
1739365098819.1616,0.0,0.0,0.0,0.0,0.0,0.0
1739365098819.665,0.0,0.0,0.0,0.0,0.0,0.0
