0,1,2,3,4,5,time
138.2078815778605,-473.02491005277585,360.28574429022166,179.92421230396192,0.31575925203567623,179.61057746788524,1739364903662
138.20791334513086,-473.02484309758427,360.2855519686581,179.92417832932014,0.31574561355257097,179.61059093600105,1739364903670
138.20796975441638,-473.02478886681445,360.2854840360691,179.92416469479846,0.3157456035294034,179.61059089117694,1739364903678
138.20785746334943,-473.02478344142537,360.28549995088036,179.9241714181855,0.3157456219198914,179.61056369900913,1739364903686
138.20790142264255,-473.0247037956492,360.2854881856834,179.92416460973402,0.3157388709286516,179.61057049223393,1739364903694
138.20792633070477,-473.02472931328265,360.2854321146131,179.92415786839075,0.31575242835259626,179.61057725131147,1739364903706
138.2079701263938,-473.0246621276473,360.2854341412579,179.92415782096003,0.3157456628197405,179.61057724955037,1739364903714
138.20790132459396,-473.0247032853681,360.28535122418435,179.92415784863323,0.3157388071964679,179.61057717619923,1739364903722
138.20791400740686,-473.02465321442924,360.2854904049556,179.92416458189493,0.3157457023232479,179.6105636919856,1739364903730
138.20784602357216,-473.02463207138885,360.2853385286916,179.9241305796699,0.31573886540935675,179.6105568021653,1739364903738
138.20784582308335,-473.0246063078505,360.28536823532073,179.92414417647456,0.3157388962555439,179.61055680765293,1739364903746
138.2079458357857,-473.02454854571505,360.28545095975454,179.92414409174833,0.31573214594982724,179.61055688092614,1739364903754
138.207846338121,-473.02449299026955,360.285495650853,179.92414410128552,0.3157390403870195,179.61054331819454,1739364903762
138.20783412182485,-473.0245816177945,360.2851463035724,179.92409653989864,0.3157320073743264,179.61054987469086,1739364903770
138.20783414608238,-473.0245056807455,360.2853150946163,179.92411693509945,0.31573215288463696,179.61054999310574,1739364903778
138.20789010145666,-473.02452705411315,360.2852726227693,179.92411693518608,0.3157320988403182,179.6105567556838,1739364903786
138.20783374526468,-473.0245688838665,360.2854371679174,179.92413725579766,0.31573214248836706,179.61053648183838,1739364903794
138.20790260451193,-473.02454006807295,360.2853130679808,179.9241169075978,0.31573890041441316,179.61054999466742,1739364903802
138.20787768836686,-473.02453986281637,360.2853128753531,179.92411685054893,0.31572529448381775,179.6105431961272,1739364903810
138.20787769644974,-473.02451455045355,360.2853691390344,179.92412364894918,0.31572534298885835,179.61054323559804,1739364903818
