1,2,3,4
-0.0003664033429231,1.4248241313907783e-05,5.574357419391163e-05,2.42795667872997e-05
-0.000349302572431,1.311290998273762e-05,4.612852353602648e-05,1.5316230928874575e-05
-0.0003167848335579,1.2593027349794284e-05,3.871918306685984e-05,9.118730304180644e-06
-0.000281630520476,1.4282690244726837e-05,2.85654459730722e-05,5.561304533330258e-06
-0.0002492278872523,1.550062370370142e-05,1.6941399735515006e-05,2.710696435315185e-06
-0.0002130381762981,1.3383356417762116e-05,-3.887829734594561e-06,3.768189571928815e-06
-0.0001783108600648,1.2291731763980351e-05,-2.388623579463456e-05,9.288172805099748e-06
-0.0001493486779509,1.3882528037356678e-05,-3.6301513318903744e-05,1.577532384544611e-05
-0.0001179420651169,1.4417807506106328e-05,-4.563213951769285e-05,2.383508035563864e-05
-8.131938375299796e-05,1.4899748748575805e-05,-5.550973583012819e-05,2.9843784432159737e-05
-3.796187593252398e-05,1.5652589354431257e-05,-6.73932590871118e-05,4.412109774420969e-05
5.407321623351891e-06,1.3973077329865193e-05,-7.725933392066509e-05,7.413180719595402e-05
4.273081503924914e-05,1.3577208846982105e-05,-8.237642759922892e-05,0.0001041042560245
6.608069088542834e-05,1.5289257135009393e-05,-8.221555617637932e-05,0.0001256718242075
7.02928809914738e-05,1.532144597149454e-05,-8.253500709543005e-05,0.0001425882073817
6.09136768616736e-05,1.4055677638680208e-05,-8.085228910204023e-05,0.0001517131750006
4.801712202606723e-05,1.166068614111282e-05,-7.880688644945621e-05,0.0001466220855945
3.962585833505728e-05,1.074104420695221e-05,-7.477968028979376e-05,0.000123158111819
3.71241221728269e-05,1.1520176485646516e-05,-7.217174425022677e-05,9.3855349405203e-05
3.770501280087046e-05,1.2768610758939758e-05,-6.791185296606272e-05,8.332682773470879e-05
3.6466117308009416e-05,1.2728231013170443e-05,-6.508330261567608e-05,0.0001096521664294
3.673057290143333e-05,1.0687561371014452e-05,-6.359383405651897e-05,0.0001562490651849
4.097932833246887e-05,9.933409273799045e-06,-6.526451761601493e-05,0.0001818637683754
4.732974412036128e-05,1.0575628039077856e-05,-6.460196163970977e-05,0.0001749306247802
5.220725142862648e-05,1.0893788385146763e-05,-6.289240991463885e-05,0.0001449925475753
5.131283978698775e-05,9.86354370979825e-06,-5.853317998116836e-05,8.303677896037698e-05
4.7226305468939245e-05,7.244237622217042e-06,-5.482053165906109e-05,-1.7488006051280536e-05
4.691911453846842e-05,4.190731488051824e-06,-5.309004336595535e-05,-0.0001257071562577
4.958171120961197e-05,2.3347693058894947e-06,-5.674047133652493e-05,-0.0001995541242649
4.932832234771922e-05,1.942021981449216e-06,-5.8071251260116696e-05,-0.00022393449035
4.512164377956651e-05,4.22047241954715e-06,-5.8186622482026e-05,-0.0002082353312289
4.01740544475615e-05,6.978322289796779e-06,-5.9542762755882e-05,-0.0001715560647426
3.196884426870383e-05,8.837275345285889e-06,-5.734522710554302e-05,-0.0001231514033861
2.6423582312418148e-05,1.3123160897521302e-05,-4.958681165589951e-05,-8.580053690820932e-05
2.9631333745783195e-05,1.972168320207857e-05,-4.180522955721244e-05,-7.020369230303913e-05
3.661117807496339e-05,2.555781247792765e-05,-3.766666850424372e-05,-5.4633826948702335e-05
4.705934043158777e-05,2.9157978133298457e-05,-3.580407428671606e-05,-3.730654862010852e-05
6.524669879581779e-05,2.9054594051558524e-05,-3.228570494684391e-05,-1.9739807612495497e-05
9.364534344058484e-05,2.700487493711989e-05,-2.7014315492124297e-05,-1.36703656608006e-05
0.0001275640825042,2.739779301919043e-05,-2.2847629224997945e-05,-1.4722980267833918e-05
0.000149439802044,2.9534048735513352e-05,-2.1180963813094426e-05,-2.0257602955098264e-05
0.0001405530929332,2.83169010799611e-05,-2.0631941879400983e-05,-3.674089748528786e-05
9.875604882836342e-05,2.1997635485604405e-05,-1.934662759595085e-05,-7.022339559625834e-05
4.185852958471514e-05,1.5526660718023777e-05,-1.67799589689821e-05,-0.0001087735436158
-1.1124699994979892e-05,1.0966266017931048e-05,-1.46988604683429e-05,-0.000128693980514
-5.296646850183606e-05,8.476168659399264e-06,-1.3936466530140024e-05,-0.0001309224171563
-8.407777932006866e-05,8.004982191778254e-06,-1.1612027265073266e-05,-0.0001266204199055
-0.0001053636951837,7.0928117565927096e-06,-9.383077667735051e-06,-0.0001241438440047
-0.0001170235991594,3.745114099729108e-06,-7.45214629205293e-06,-0.0001189528338727
-0.0001204309010063,-5.474564090945933e-07,-4.86648605146911e-06,-0.0001099267901736
-0.000116267838166,-4.59397551821894e-06,-5.360765271689161e-07,-9.587266686139628e-05
-0.000108085667307,-7.250984253914794e-06,1.4363927220983896e-06,-7.968558929860592e-05
-0.0001018770417431,-9.31495196709875e-06,3.500001071188308e-07,-6.1367878515739e-05
-9.862321894615889e-05,-1.2415391211106908e-05,1.3304318144946592e-06,-4.1501982195768505e-05
-9.231673902831972e-05,-1.4279502465797124e-05,5.393945684772916e-06,-2.3279681045096368e-05
-8.407964196521789e-05,-1.40495694722631e-05,6.907091574248625e-06,-1.522373167972546e-05
-7.896172610344365e-05,-1.2635637176572344e-05,8.036323379201349e-06,-1.4915858628228308e-05
-7.792308315401897e-05,-1.0811922038556077e-05,9.442789632885251e-06,-1.4033886145625727e-05
-7.472610741388053e-05,-5.068399332230911e-06,1.0603217560856136e-05,-1.0421084880363196e-05
-6.684298568870872e-05,2.8391405066940933e-06,9.673045497038402e-06,-6.031460088706808e-06
-6.11038485658355e-05,9.051942470250651e-06,8.119362973957323e-06,-1.0158429404327762e-06
-5.827256245538592e-05,1.8854892914532684e-05,9.063893230631948e-06,3.775945060624508e-06
-5.776907710242085e-05,3.212408410036005e-05,1.3459326510201208e-05,5.53078280063346e-06
-5.853738548466936e-05,4.492976950132288e-05,1.6381276509491727e-05,4.249848643667065e-06
-5.709435936296359e-05,5.331495412974618e-05,1.892222098831553e-05,3.9755368561600335e-06
-5.538508776226081e-05,5.513184805749916e-05,1.84077289304696e-05,7.2566044764244e-06
-5.503387365024537e-05,5.481411426444538e-05,1.804594467103016e-05,1.1865162377944216e-05
-5.30826291651465e-05,5.448911542771384e-05,2.1086652850499377e-05,1.5209432604024188e-05
-4.727357372757979e-05,5.499477265402675e-05,2.382281127211172e-05,1.5665447790524922e-05
-4.100939258933067e-05,5.482587948790752e-05,2.566789044067264e-05,1.5874595192144625e-05
-3.644876414909959e-05,5.252674964140169e-05,2.76457558356924e-05,1.6716365280444734e-05
-3.465883492026478e-05,4.789833110407926e-05,2.995854083565064e-05,1.8686254406929947e-05
-3.4771172067848966e-05,4.3700791138689965e-05,2.3299113308894448e-05,1.954681647475809e-05
-3.5911343729821965e-05,3.929522790713236e-05,6.889840278745396e-06,2.0968866010662168e-05
-3.518159792292863e-05,3.393893348402344e-05,3.919186838174937e-06,2.3680586309637874e-05
-3.391477730474435e-05,2.95938370982185e-05,3.729313539224677e-05,2.676883195817936e-05
-3.519151505315676e-05,2.6369181796326305e-05,8.858310320647433e-05,2.888231028919108e-05
-3.887298953486607e-05,2.266406772832852e-05,0.0001163757624453,3.016450500581413e-05
-4.22737721237354e-05,1.8390319382888265e-05,0.0001065840551746,3.16841687890701e-05
-4.300476575735957e-05,1.517097553005442e-05,8.393450843868777e-05,3.502719846437685e-05
-4.2197232687613e-05,1.216551481775241e-05,6.720321835018694e-05,3.869193096761592e-05
-4.0873819671105593e-05,1.0051372555608395e-05,5.321209755493328e-05,3.997280145995319e-05
-4.05996288463939e-05,7.569745775981573e-06,3.1706451409263536e-05,3.9762428059475496e-05
-3.992333586211316e-05,4.97178234581952e-06,2.838150066963862e-06,3.8498830690514296e-05
-3.96729119529482e-05,3.1802594548935303e-06,-2.821352973114699e-05,3.602289143600501e-05
-3.9867118175607175e-05,3.515327534842072e-06,-3.4714881621766835e-05,3.45784064847976e-05
-3.829852357739583e-05,6.134454906714382e-06,4.229291789670242e-06,3.343206844874658e-05
-3.1539184419671074e-05,7.973538231453858e-06,4.823440394829959e-05,2.9743854611297135e-05
-2.6258243451593444e-05,8.859595254762098e-06,4.8352554586017504e-05,2.464716999384109e-05
-2.6097544832737185e-05,8.910772521630861e-06,1.364657418889692e-05,1.7919870515470393e-05
-2.695855073397979e-05,8.364519089809619e-06,3.505896074784687e-06,1.0638883395586164e-05
-2.630252129165456e-05,8.46501461637672e-06,3.928510341211222e-05,4.5958645387145225e-06
-2.4820599719532765e-05,7.439295131916879e-06,8.636972779640928e-05,-2.5589627057343023e-06
-2.2829883164376952e-05,5.736832918046275e-06,0.0001241490535903,-1.004361365630757e-05
-2.004286761803087e-05,4.961598733643768e-06,0.0001550019806018,-1.6979889551294036e-05
-1.9532137230271477e-05,4.902393811789807e-06,0.0001751903328113,-2.328849041077774e-05
-2.307465001649689e-05,4.8251367843477055e-06,0.0001812960690585,-2.822395617840812e-05
-2.8698143069050275e-05,5.084059466753388e-06,0.0001802754995878,-3.407211261219345e-05
-3.43836254614871e-05,4.682498911279254e-06,0.000178550457349,-4.076458208146505e-05
-4.155079659540206e-05,3.787018613365945e-06,0.0001774072734406,-4.646904926630668e-05
-4.853950667893514e-05,3.021564225491602e-06,0.0001737299317028,-5.000958117307164e-05
-5.449884702102281e-05,2.246618350909557e-06,0.0001682697620708,-5.278410390019417e-05
-5.890447937417776e-05,6.077221996747539e-07,0.0001615975925233,-5.4363958042813465e-05
-6.117799784988165e-05,7.015373881813504e-08,0.0001514679024694,-5.642609903588891e-05
-6.243838288355619e-05,2.8846332043031e-06,0.0001389208773616,-6.019033753545955e-05
-6.357954407576472e-05,8.307328243972734e-06,0.0001275458052987,-6.325350841507316e-05
-6.373879296006635e-05,1.147779039456509e-05,0.0001171225230791,-6.424463208531961e-05
-6.21223371126689e-05,1.116289604397025e-05,0.0001063448071363,-6.262323586270213e-05
