1,2,3,4
-1.466465437260922e-05,1.310640618612524e-05,2.1211923012742773e-05,9.626171504351078e-07
-7.694184205320198e-06,1.307351340074092e-05,2.4393653802690096e-05,3.820709935098421e-06
1.213273776556889e-06,1.351879291178193e-05,2.696864612516947e-05,6.81799292578944e-06
1.067179528035922e-05,1.4341635505843442e-05,2.854515150829684e-05,6.9335605985543225e-06
1.994727972487453e-05,1.5350264220614918e-05,2.7874004445038736e-05,4.723494384961668e-06
3.18117999995593e-05,1.559417614771519e-05,2.6409110432723537e-05,1.94825702237722e-06
4.808385710930452e-05,1.481697108829394e-05,2.1577812731266025e-05,8.323884799210646e-07
6.676642806269228e-05,1.3481823771144263e-05,1.5154746506595984e-05,4.118556375942717e-07
7.916706090327352e-05,1.3479444533004424e-05,1.2996524674235845e-05,-4.6581234869336186e-07
7.58833484724164e-05,1.4631236808781978e-05,1.803169288905337e-05,-3.5971364553688545e-08
5.500656334334053e-05,1.537875687063206e-05,2.566827242844738e-05,2.0196227978885872e-06
2.5522253054077737e-05,1.6142033928190358e-05,3.139009277219884e-05,5.123887603986077e-06
3.067985403504281e-07,1.6732525182305835e-05,3.443526293267496e-05,8.765805432631169e-06
-1.2798055649909656e-05,1.5173418432823382e-05,3.492635005386546e-05,1.144320958701428e-05
-1.384758343192516e-05,1.3205861250753514e-05,3.3239219192182645e-05,1.131424414779758e-05
-8.560775313526392e-06,1.2992466508876532e-05,2.9580907721538097e-05,1.1122294381493704e-05
-3.897381702699931e-06,1.3338504686544184e-05,2.39153960137628e-05,1.035363857226912e-05
-1.2720312270175782e-06,1.3886390661355108e-05,1.8550972527009435e-05,6.980946182011394e-06
-1.2280628425287432e-06,1.3879622201784514e-05,1.7173615560750477e-05,5.085667453386122e-06
-5.951833827566588e-06,1.3039994883001782e-05,1.828232780098915e-05,4.994506980438018e-06
-1.4233542970032431e-05,1.3444844626064878e-05,1.7374941307934932e-05,5.068227437732276e-06
-2.761752148217056e-05,1.399217580910772e-05,1.6901047274586745e-05,5.010012955608545e-06
-3.7956891901558265e-05,1.50149653563858e-05,1.7861197193269618e-05,6.160555585665861e-06
-3.986329465988092e-05,1.515250824013492e-05,1.7709340681903996e-05,7.047599410725525e-06
-3.966581789427437e-05,1.5572717529721558e-05,1.7349919289699756e-05,8.53253914101515e-06
-3.5446009860606864e-05,1.734987017698586e-05,1.6024670912884176e-05,8.313768375955988e-06
-2.3613152734469622e-05,1.739893741614651e-05,1.4826052392891144e-05,4.6115014811221045e-06
-7.99903500592336e-06,1.4779940102016552e-05,1.256775613001082e-05,2.7549554033612367e-06
-7.98950850366964e-07,1.2360366781649644e-05,8.239937415055465e-06,2.9453779006871628e-06
-1.2548194717965089e-05,1.2561882613226771e-05,5.377838078857167e-06,4.451418590178946e-06
-3.473598189884797e-05,1.3525191207008902e-05,5.132269961904967e-06,4.086562512384262e-06
-5.037187293055467e-05,1.3749221579928417e-05,4.96182019560365e-06,2.022587750616367e-06
-5.57315579499118e-05,1.4451184142671993e-05,4.408074346429203e-06,-3.46895092206978e-07
-6.442101584980264e-05,1.480502851336496e-05,-1.894615309083747e-07,-2.6836885353986872e-06
-8.36050312500447e-05,1.3222467714513186e-05,-8.67738708620891e-06,-3.3586379686312284e-06
-0.0001018185357679,1.178742604679428e-05,-1.6387730283895507e-05,-2.2305746369966077e-06
-0.0001080447909771,1.1712651030393316e-05,-2.0927403966197744e-05,-1.257964186152094e-06
-0.000104177139292,1.2135615179431625e-05,-2.3115651856642216e-05,-1.1988977348664775e-06
-9.900615987135096e-05,1.3218860658525957e-05,-2.3648171918466687e-05,4.585334352213977e-07
-9.671869338490068e-05,1.4229054613679182e-05,-1.952675120264757e-05,2.274211055919295e-06
-9.547985973767936e-05,1.313089614995988e-05,-4.4865860218124e-06,2.1610351268464e-06
-9.033337846631184e-05,1.0768235370051116e-05,2.123112608387601e-05,1.574484258526354e-06
-7.304508471861482e-05,9.09732079890091e-06,5.078907997813076e-05,2.3947668523760512e-06
-3.816688331426121e-05,9.142357157543302e-06,8.546465687686577e-05,3.1405083973368164e-06
1.541514393466059e-05,9.439108907827176e-06,0.0001211286726174,3.7036270441603847e-06
6.835170643171296e-05,7.87240333011141e-06,0.0001324369077337,4.355767487140838e-06
7.325015030801296e-05,6.726505034748698e-06,0.000110887325718,4.414812337927288e-06
1.1048479791497812e-05,8.260200047516264e-06,7.762385939713567e-05,4.943768544762861e-06
-9.616158786229788e-05,1.0230444786429873e-05,4.6097753511276096e-05,3.965298674302176e-06
-0.0001802596671041,1.0553588253969792e-05,2.0043753465870395e-05,2.3562045043945545e-06
-0.0002010174357565,1.1349720807629636e-05,5.527918801817577e-06,3.454467332630884e-06
-0.0001760463346727,9.941850294126198e-06,7.36219863028964e-06,4.819948117074091e-06
-0.0001251656940439,7.401844868581975e-06,1.715133839752525e-05,4.089513822691515e-06
-7.634925714228302e-05,8.774047273618635e-06,2.294198384333868e-05,2.620924306029337e-06
-5.004832564736717e-05,1.0356723578297531e-05,2.063033571175765e-05,1.4689770750919706e-06
-5.741178028983995e-05,1.12292509584222e-05,1.5741530660307035e-05,9.163642857856756e-07
-7.866475061746314e-05,1.2180439625808503e-05,1.2965891983185427e-05,2.6944444471155293e-06
-9.380767733091488e-05,1.2870550563093277e-05,1.26632639876334e-05,4.138454642088618e-06
-9.480033622821792e-05,1.1198863830941264e-05,1.3432126252155284e-05,3.243789024054422e-06
-8.942322165239602e-05,1.1132974577776622e-05,1.4863320757285692e-05,2.677598558875616e-06
-8.545786113245413e-05,1.3027301065449136e-05,1.3469176337821407e-05,3.354257160026464e-06
-8.002498361747712e-05,1.4422795175050853e-05,1.0558610483712982e-05,3.0941885142965475e-06
-7.039665069896728e-05,1.419088675902458e-05,9.376758498547131e-06,2.907909674831899e-06
-5.5999298638198525e-05,1.2705047993222252e-05,9.417381988896524e-06,3.671533931992599e-06
-4.278641790733673e-05,1.119909302360611e-05,8.92058051249478e-06,3.239000307075912e-06
-3.3975386031670496e-05,1.0955872312479188e-05,8.107981557259336e-06,1.964209559446317e-06
-2.9276863642735407e-05,1.0816225767484866e-05,7.82945062383078e-06,1.2221012184454594e-06
-2.38766115217004e-05,9.69205575529486e-06,8.294407052744646e-06,1.794320496628643e-06
-1.997018807742279e-05,1.0082343578687867e-05,1.0558319445408417e-05,2.05142964659899e-06
-1.91629005712457e-05,1.1178962267877068e-05,1.1579409147088882e-05,6.654643698311702e-07
-2.040400431724265e-05,1.2819395124097356e-05,1.2207640793349128e-05,-1.3409339771897066e-06
-1.9191711544408463e-05,1.4644901057181414e-05,1.1503622772579549e-05,-1.912736252052128e-06
-1.7034139091265388e-05,1.5893243471509777e-05,1.1200851076864636e-05,-1.029387021844741e-06
-1.3781780580757186e-05,1.5676878319936804e-05,1.3144245713192504e-05,-2.3109612357075093e-07
-1.1251040632487276e-05,1.586456346558407e-05,1.6486183085362427e-05,1.1332181202305946e-06
-6.626791673625121e-06,1.5130629435589071e-05,1.789368616300635e-05,4.105789230379742e-06
-3.0548453651135787e-06,1.4530889529851264e-05,1.7160273273475468e-05,5.689372756023658e-06
-9.77233412413625e-07,1.5178743524302265e-05,1.3382176803133916e-05,6.205612862686394e-06
3.073454081459204e-06,1.4821473996562418e-05,3.2807113257149467e-06,6.473514531535329e-06
6.221804142114706e-06,1.4714376447955146e-05,-4.074100615980569e-06,5.321797743818024e-06
1.2404375411279034e-05,1.486237033532234e-05,-2.8552751700772205e-06,7.326787908823462e-06
2.284070069435984e-05,1.3315750948095229e-05,-7.41099142942403e-07,9.12703308131313e-06
3.208149064448662e-05,1.4034028026799206e-05,-1.6356411833839957e-06,8.864740266290028e-06
3.664397809188813e-05,1.5254060599545484e-05,-6.200766051733808e-07,1.0440428923175205e-05
4.186825026408769e-05,1.5619387340848334e-05,9.873647286440246e-06,1.1798199921031484e-05
5.20165849593468e-05,1.5600944607285783e-05,3.741732143680565e-05,1.1051935871364549e-05
6.848768680356443e-05,1.578669252921827e-05,7.36985748517327e-05,8.593330676376354e-06
8.789827552391216e-05,1.530963709228672e-05,9.161781781585888e-05,7.785486559441779e-06
9.864740422926845e-05,1.4591702893085312e-05,8.219340088544413e-05,7.974343134264927e-06
8.355697355000302e-05,1.5308520232792944e-05,6.0230056988075376e-05,8.138966222759336e-06
3.573430149117485e-05,1.6363770555472e-05,4.0256036299979314e-05,7.213110620796215e-06
-3.007521627296228e-05,1.5952826288412325e-05,2.443529592710547e-05,6.39940299151931e-06
-8.611855446361005e-05,1.4209475921234116e-05,1.17579384095734e-05,6.5835997702379245e-06
-0.0001153288467321,1.3206420589995105e-05,1.7319893004241749e-06,6.440510787797393e-06
-0.0001195030854432,1.315350891673006e-05,-6.551418209710391e-06,4.847179297939874e-06
-0.0001050122737069,1.3598939403891563e-05,-6.218538601387991e-06,4.236986114847241e-06
