0,1,2,3,4,5,time
138.2124510153033,-473.02442881138916,360.27622675844316,179.92499616363244,0.3167052394150754,179.61103681387127,1739367238251
138.21944961363718,-473.0224343039925,360.2800462116667,179.92547985420524,0.31737364597722767,179.61174661757235,1739367238259
138.23735234727573,-473.0203425080467,360.28682225358654,179.92652216957674,0.31888430716887345,179.61358029103206,1739367238267
138.2511430921713,-473.0189323789889,360.2886206883464,179.92678271478064,0.3203793994942332,179.61492783722616,1739367238275
138.2306363281988,-473.0253982596984,360.2836741825392,179.9258787796946,0.3204515449020299,179.61244996772166,1739367238287
138.219913471565,-473.0285219691138,360.28245377184396,179.92563359488588,0.3201721225096701,179.6112050798576,1739367238292
138.2111295872995,-473.0298400223109,360.28373118989094,179.92548969874787,0.3194189419469493,179.61030217271593,1739367238304
138.21208209906283,-473.0295485191443,360.2868341734816,179.92582223239955,0.31911442449507404,179.61046090166613,1739367238312
138.2124126720943,-473.02902509924627,360.2883489773928,179.92599177864955,0.3189590547914431,179.61050280507212,1739367238320
138.2096659502266,-473.0287683389198,360.28944896989987,179.92605220627283,0.31859316202135696,179.61021131642354,1739367238328
138.20944606496164,-473.02756848118497,360.2908944182196,179.92611936958224,0.3181052243151835,179.61027363976035,1739367238336
138.21296846300282,-473.0254447135363,360.29235996018696,179.92613284253332,0.3181272852632621,179.6106691844102,1739367238343
138.21629730375366,-473.0240067914297,360.29237536844727,179.92597621002594,0.31807328770240056,179.61105009990771,1739367238351
138.2187736588373,-473.02367821549063,360.2912637211998,179.92582651761361,0.31798400270935284,179.61136885874814,1739367238359
138.21665099211356,-473.02430112033613,360.2898729038493,179.92556088549787,0.31758888658514894,179.61121161545682,1739367238367
138.21570481890575,-473.02442985283835,360.2896440487747,179.9254924338681,0.31731683576283387,179.6111435164675,1739367238375
138.21720815943152,-473.02372641174776,360.2891608415937,179.9252001918108,0.3172761453726255,179.61136102629348,1739367238383
138.21731720529934,-473.0233885739982,360.28884046392085,179.92508415356286,0.31705858705469225,179.61139487759934,1739367238391
138.2149826060643,-473.02357754592884,360.2865872753861,179.9245394293396,0.31639147425102665,179.61127802728336,1739367238399
138.21020214089984,-473.0254348635156,360.28473972697964,179.92420673726588,0.3168730701439861,179.61054259901286,1739367238407
138.20665510300415,-473.0275357507169,360.28423586269645,179.92426100376792,0.3168378815771711,179.61010703898057,1739367238415
138.208072571081,-473.02768501013674,360.2854221002865,179.92448545133172,0.3168788006068528,179.61027779629728,1739367238423
138.20829113845048,-473.0275275843259,360.2858643329494,179.92451931953306,0.31684508138236783,179.61029853964035,1739367238431
138.2066963547304,-473.0279582732512,360.2851533245546,179.92439675146753,0.3167087430222363,179.61013490932103,1739367238439
138.2066868887054,-473.0275173392911,360.2848200041483,179.92428800253472,0.3167021734546215,179.61014152936892,1739367238447
138.20850144763153,-473.02632202388236,360.2866808539921,179.92451895633772,0.31662200155518366,179.61036719503818,1739367238459
138.21266556023195,-473.0248794751601,360.28807473965895,179.92472983079892,0.31662968866258123,179.61089162573018,1739367238467
