4,3,5
4.6694,-2.9022,-0.6609
4.9468,-3.0404,-0.5287
5.0855,-3.501,-0.6609
5.1317,-3.9387,-0.6609
5.0855,-4.192,-0.9253
4.9006,-4.2842,-1.1896
4.9237,-4.4224,-1.5862
5.0855,-4.7909,-1.9828
5.1086,-5.1825,-2.115
5.1086,-5.6662,-2.115
4.9468,-6.0347,-2.115
4.8774,-6.4033,-1.9828
5.1548,-6.9791,-1.8506
5.3629,-7.6471,-1.8506
5.4322,-8.3381,-1.3218
5.3629,-8.8218,-1.1896
5.3398,-9.0291,-1.454
5.2242,-8.96,-1.3218
5.1548,-8.96,-1.0575
5.6403,-9.4667,-0.6609
5.9177,-10.2038,-0.6609
5.3166,-10.5723,-0.6609
4.7156,-10.5723,-0.6609
4.5307,-10.4572,-0.6609
4.4845,-10.9869,-0.6609
5.0161,-11.6088,-0.6609
5.1086,-12.0465,-0.5287
5.0161,-12.3689,-0.7931
4.6463,-11.9083,-0.7931
4.0453,-11.4476,-0.5287
3.8141,-11.1942,-0.7931
3.8372,-10.8487,-0.6609
3.9528,-10.8718,-0.7931
3.8603,-10.4802,-1.0575
3.6754,-10.2729,-0.7931
3.6523,-10.4802,-0.7931
3.8603,-11.0791,-0.7931
3.9297,-11.4476,-0.6609
3.8141,-11.4476,-0.1321
3.6985,-11.5397,-0.2643
3.5829,-11.4937,-0.6609
3.4674,-11.5628,-0.7931
3.2824,-11.7701,-1.1896
3.3055,-11.8161,-1.3218
3.4442,-11.9313,-1.454
3.4905,-11.9543,-1.454
3.4905,-11.8852,-1.5862
3.4211,-11.9543,-1.7184
3.5367,-12.0234,-1.9828
3.6985,-12.2538,-2.115
3.8372,-12.6684,-2.3793
3.9759,-12.9678,-2.2471
4.0684,-13.0369,-2.115
4.1377,-13.1521,-2.3793
4.0453,-13.3824,-2.2471
4.1377,-13.7279,-2.115
4.184,-14.0043,-2.115
4.2302,-14.0504,-2.3793
4.184,-13.8201,-2.3793
4.1608,-13.6819,-2.5115
4.1377,-13.7049,-2.7759
4.1377,-13.7049,-2.7759
4.2533,-13.797,-2.9081
4.3458,-14.0274,-2.9081
4.2764,-13.797,-2.9081
4.2071,-13.5667,-3.1725
4.0221,-13.5667,-3.4368
4.0453,-13.5667,-3.8334
4.0453,-13.3133,-4.3621
3.8834,-12.6914,-4.7587
3.7679,-11.8852,-5.1553
3.8372,-11.1251,-5.5518
3.791,-10.9178,-5.684
3.8141,-11.033,-6.2128
3.9066,-10.8948,-6.6093
3.8834,-10.2038,-7.2703
4.0915,-9.1903,-7.799
4.2533,-8.4072,-8.0634
4.3226,-7.9926,-8.7243
4.6925,-7.6701,-8.9887
4.8543,-7.4628,-9.914
4.9699,-7.0021,-10.7072
5.3166,-6.2881,-11.6325
5.594,-5.3668,-12.1612
5.6865,-4.7909,-12.8222
5.9639,-4.6067,-13.4831
6.1026,-4.6988,-14.4084
6.4493,-4.5606,-15.4659
6.8885,-4.3072,-16.5234
7.189,-3.9387,-18.374
7.4664,-3.4319,-20.0925
7.6051,-2.7409,-21.8109
7.6976,-2.073,-23.1328
8.0443,-1.8426,-23.9259
8.4604,-2.119,-25.2478
9.1308,-2.6949,-26.5697
9.8705,-3.2477,-27.8916
10.4253,-3.478,-28.9491
10.5871,-3.8235,-29.7422
10.6333,-4.192,-30.7997
10.6796,-4.3533,-31.5928
10.7027,-4.3533,-32.7825
10.7258,-4.4224,-34.1044
10.9107,-4.4915,-35.4263
11.0263,-4.9291,-36.2194
11.0263,-5.4128,-36.6159
10.9107,-5.5971,-36.7481
10.7489,-5.4128,-36.6159
10.7951,-5.7353,-36.6159
11.0957,-6.6336,-36.8803
11.1188,-7.6471,-37.0125
11.0725,-8.6145,-36.7481
10.9801,-9.5819,-36.6159
10.8183,-10.3881,-36.3516
10.7027,-11.01,-35.955
10.7951,-11.6779,-35.8228
10.8876,-12.4611,-35.6906
10.7027,-12.9218,-35.2941
10.4715,-12.6453,-34.7653
10.0785,-12.2538,-34.8975
10.0092,-12.1847,-35.1619
10.2866,-12.6684,-35.5584
10.8876,-13.3364,-35.8228
11.2112,-13.7279,-35.6906
11.2575,-13.7049,-35.1619
10.8876,-13.1751,-34.3688
10.3559,-12.3459,-33.5756
9.778,-11.8852,-32.7825
9.4313,-12.1847,-33.0469
9.5238,-12.7144,-33.1791
9.8243,-12.9218,-33.3113
9.963,-12.9448,-33.0469
9.9398,-12.7375,-32.2538
9.8243,-12.5762,-31.8572
9.7087,-12.8296,-31.5928
9.8243,-13.8201,-31.1962
10.0092,-15.0869,-30.5353
10.0785,-16.3077,-29.7422
9.9167,-16.7683,-28.6847
9.5238,-17.206,-27.6272
9.2695,-17.9891,-27.3628
9.177,-18.611,-27.495
9.1308,-18.8874,-27.0984
9.1077,-18.7262,-26.4375
8.8996,-18.2425,-24.9834
8.3448,-17.9661,-23.1328
7.7669,-18.1043,-21.5465
7.3971,-18.9105,-20.2247
7.3509,-20.1773,-18.9028
7.0503,-21.1217,-17.8453
6.5649,-21.5824,-16.5234
6.0101,-21.5593,-15.7303
5.6171,-21.2599,-14.5406
5.2011,-21.329,-13.2187
5.0161,-21.9279,-12.029
5.2011,-22.734,-10.4428
5.2704,-23.425,-9.2531
4.9237,-23.3559,-7.9312
4.2764,-22.688,-7.2703
3.791,-21.9279,-6.7415
3.5136,-21.4442,-6.2128
3.19,-21.4902,-5.9484
2.7739,-21.4672,-5.8162
2.5427,-21.1908,-5.684
2.5658,-20.638,-6.2128
2.404,-19.7397,-6.7415
2.3116,-19.0717,-6.8737
2.5658,-18.8874,-6.8737
2.8201,-19.0487,-6.8737
2.9819,-19.1869,-6.8737
3.1206,-18.8874,-7.0059
3.19,-18.3346,-7.4025
3.2362,-17.6206,-7.799
3.19,-17.4133,-8.0634
3.2362,-17.6206,-8.46
3.3518,-17.7588,-8.5922
3.5367,-17.6436,-8.7243
3.5829,-17.229,-9.1209
3.5136,-16.4228,-9.7818
3.4211,-15.5706,-10.4428
3.5367,-15.179,-10.9715
3.6754,-15.2251,-11.5003
3.9066,-15.2251,-11.8968
3.9066,-14.8566,-12.4256
3.6985,-14.0504,-12.69
3.5829,-13.3364,-13.2187
3.6754,-13.106,-13.8797
3.9759,-13.1751,-14.5406
4.184,-13.083,-15.4659
4.2995,-12.7605,-15.7303
4.3689,-12.5071,-16.1269
4.3458,-12.2768,-16.7878
4.2533,-12.0465,-17.1844
4.2071,-12.0234,-17.3165
4.2995,-12.4841,-17.4487
4.3689,-13.2442,-17.4487
4.392,-13.8892,-17.7131
4.3226,-14.0734,-17.8453
4.2071,-13.9583,-18.5062
4.0684,-13.6819,-19.035
4.0221,-13.3594,-19.5637
3.9759,-13.1291,-19.9603
3.9759,-13.1751,-20.2247
3.9528,-13.4055,-20.489
3.9297,-13.6128,-21.0178
3.9759,-13.7279,-21.5465
4.0915,-13.6588,-22.3397
4.2995,-13.6358,-23.1328
4.2302,-13.6588,-23.7937
4.1146,-13.9122,-24.5869
4.184,-14.3268,-25.38
4.1608,-14.9948,-26.1731
4.2995,-15.5476,-27.6272
4.4151,-15.7779,-28.6847
4.3458,-15.7088,-30.1387
4.184,-15.6858,-31.1962
3.8372,-15.7779,-32.1216
3.5829,-16.1695,-33.0469
3.398,-16.6762,-34.1044
3.2824,-17.183,-35.0297
3.1206,-17.4824,-36.3516
2.7508,-17.4824,-37.5413
2.0342,-17.3212,-38.4666
1.2251,-17.2981,-39.5241
0.6934,-17.9661,-40.0528
0.3236,-19.2329,-40.846
0.1386,-20.3846,-41.3747
-0.0231,-21.0295,-41.9035
-0.5085,-20.9374,-42.1678
-1.2251,-20.5919,-42.3
-1.7337,-20.7762,-42.4322
-1.9648,-21.6284,-42.961
-2.011,-22.8492,-43.3575
-2.011,-23.7705,-44.0185
-2.2422,-23.7245,-44.5472
-2.797,-22.9413,-44.2828
-3.9297,-22.1582,-43.8863
-4.8081,-22.2273,-43.4897
-5.2704,-23.2177,-43.2253
-5.2935,-24.6688,-43.0931
-4.8543,-25.6363,-43.0931
-4.3689,-25.7054,-43.2253
-4.392,-25.0374,-42.8288
-4.6925,-24.2082,-42.3
-5.1317,-24.1391,-41.9035
-5.3629,-24.5997,-41.6391
-4.993,-24.9452,-41.3747
-4.4151,-24.6919,-41.3747
-4.0221,-23.7475,-41.2425
-3.8603,-22.7801,-40.9781
-4.0684,-22.4807,-40.4494
-4.1377,-22.5267,-39.7884
-3.8834,-22.6419,-39.2597
-3.3518,-22.734,-38.5988
-2.7276,-22.1812,-38.3344
-2.3809,-21.1677,-37.4091
-2.3578,-20.3616,-36.6159
-2.5658,-20.1312,-35.955
-2.7739,-20.5919,-35.5584
-2.6814,-21.0986,-35.4263
-2.4965,-20.9835,-35.6906
-2.4271,-20.1773,-35.8228
-2.5889,-18.8414,-35.8228
-2.9819,-17.6206,-35.6906
-3.4211,-16.8835,-35.4263
-3.4211,-16.7914,-35.1619
-2.9588,-17.0217,-35.2941
-2.404,-16.9526,-35.5584
-1.8955,-16.1695,-35.5584
-1.7568,-14.8566,-34.7653
-1.9648,-13.4976,-33.9722
-2.3116,-12.0925,-33.0469
-2.6583,-10.9869,-31.9894
-2.7508,-10.365,-31.3284
-2.7739,-9.674,-30.7997
-2.9357,-8.7757,-29.8744
-3.0975,-8.0386,-28.9491
-3.3518,-7.2785,-28.4203
-3.6292,-6.5875,-27.7594
-3.5136,-6.3342,-27.495
-3.1206,-6.1038,-27.6272
-2.8201,-5.5741,-27.3628
-2.5889,-5.2977,-27.0984
-2.4734,-5.0673,-26.5697
-2.5889,-4.7449,-26.0409
-2.7508,-4.4685,-25.38
-2.8201,-4.2612,-25.2478
-2.7508,-4.0308,-25.1156
-2.7045,-3.3859,-25.1156
-2.7739,-2.9022,-24.9834
-2.8895,-2.4645,-24.8512
