0,1,2,3,4,5,time
138.20744681186116,-473.0239615560616,360.28586714872637,179.92400171921784,0.31548836514042977,179.61068659983226,1739366993129
138.20751553626997,-473.02400873663663,360.2856846623299,179.92397457277508,0.315495032716679,179.61070007496107,1739366993137
138.20769583144107,-473.02413193483585,360.2853915415555,179.9239542757629,0.31556275168468684,179.61070664542123,1739366993145
138.20774528349165,-473.02416966681295,360.2853228977177,179.923961076046,0.315589864799459,179.61069977682683,1739366993153
138.2077390095164,-473.0242753248075,360.2851948408246,179.9239407576137,0.3156169343279666,179.61069969598628,1739366993161
138.20790750110228,-473.02422606820215,360.28508443647405,179.92392716064404,0.31561687928297283,179.61072001080882,1739366993168
138.20787644574364,-473.0242555247224,360.2850145736111,179.92391358337647,0.3156304332792718,179.61071316923915,1739366993177
138.20795717787803,-473.0242136265598,360.28515487708523,179.92394079677035,0.31564411606643145,179.61072005369402,1739366993184
138.2078572344805,-473.0242083629971,360.2852812924756,179.9239611269594,0.3156509879024037,179.61069294207726,1739366993193
138.20795015864485,-473.02415377426547,360.2856021520789,179.92401554401528,0.3156715671409117,179.61069995016223,1739366993200
138.20797503787657,-473.0241157558468,360.28561825940795,179.92402228703318,0.31568518241132787,179.61068635487666,1739366993208
138.2080245141522,-473.02407755062876,360.2857184066179,179.92404959487442,0.315712468047113,179.61070000043966,1739366993216
138.2081174832851,-473.02403587279144,360.28607961521925,179.92410393708562,0.31573304138912045,179.61069344904405,1739366993225
138.20825537328193,-473.02394046876367,360.28587388725106,179.92406316569904,0.31574659336489763,179.61070691344614,1739366993236
138.20826743865396,-473.02397846194646,360.2860523205126,179.92409033206556,0.3157534388795042,179.61070024020788,1739366993245
138.2081737208048,-473.02401941464456,360.2859692108358,179.92409022772424,0.3157329593164551,179.61067977119544,1739366993252
138.20821787240823,-473.02399084475724,360.2858714754229,179.92406302405897,0.3157261290143872,179.6106865194761,1739366993260
138.20821796680505,-473.0240414105564,360.2856485437895,179.92403575536247,0.31572595894525324,179.61067276278462,1739366993268
138.20814880124334,-473.0241839951806,360.28567178528715,179.9240492679474,0.3157190474993184,179.61065237770308,1739366993276
138.20807999951202,-473.0242251530359,360.28558886822816,179.92404929561184,0.31571219188903127,179.61065230436475,1739366993284
138.20809242066645,-473.0241870319837,360.2856048792764,179.924056028807,0.3157190087106147,179.6106387091129,1739366993292
138.2079675657318,-473.0243210363231,360.2854901327306,179.92404238491392,0.3157120623110438,179.61061823635956,1739366993300
138.20791157346846,-473.02426143924833,360.2855485193159,179.9240491831451,0.31571215273837155,179.61061147568583,1739366993308
138.20795536909594,-473.0241942536144,360.2855505459272,179.92404909825544,0.31570537818064914,179.61060467537007,1739366993316
138.2078180228506,-473.02423987602776,360.2858115109931,179.9240762352228,0.31569189449815477,179.61058447868285,1739366993324
138.2077687792108,-473.0240878650515,360.28584405157005,179.92406939712316,0.3156648440924213,179.61058450773285,1739366993332
138.20783709016624,-473.02408408769713,360.2859683440699,179.92408976492007,0.3156716830751442,179.61058459178992,1739366993340
138.20783712707077,-473.02412231138095,360.2859524293604,179.92408292914573,0.31567163768088236,179.61057779132287,1739366993349
138.20789321716526,-473.0240676885471,360.2859683440699,179.92408972746347,0.31567167406796315,179.6105845916927,1739366993357
138.20780556829197,-473.024074987532,360.2861086475908,179.9241169782867,0.31568536591703406,179.61057787936525,1739366993365
138.20784908629219,-473.02418510694184,360.28593763750115,179.92409653600143,0.31567837101494733,179.6105777625585,1739366993372
138.20784950325455,-473.0240712790736,360.28592809144845,179.9240897371763,0.3156784604166033,179.6105777556404,1739366993380
138.2078495689838,-473.0241730388651,360.2858399983853,179.9240693421406,0.3156783391406898,179.6105777123746,1739366993388
138.20774927416514,-473.02426863270813,360.28582520651264,179.92408291153814,0.3156850634667836,179.61055728810194,1739366993396
138.20776830916924,-473.0242140940799,360.2857569850441,179.92406928509823,0.31566466704552465,179.610564041918,1739366993404
138.2076680224222,-473.0242843754815,360.2857984568157,179.9240896154402,0.31567143086938765,179.61053685853895,1739366993412
138.20771116385706,-473.02438176058877,360.285918310931,179.9241100388978,0.3156646070903806,179.61055054311026,1739366993424
138.2075429750074,-473.0243673038336,360.28576968051806,179.92409640422076,0.31566457282172444,179.61052322929405,1739366993433
138.2076111223937,-473.0243759866811,360.28590776488295,179.92412360795706,0.3156714152836704,179.6105301154939,1739366993440
138.20759839829034,-473.024363090732,360.2860881284909,179.92415079202073,0.31566471486319153,179.6105302391416,1739366993448
138.20762326136537,-473.02437569719024,360.28599170851334,179.92414401312396,0.3156782511709906,179.610530162092,1739366993457
138.20761064778824,-473.02436274226534,360.2860616677081,179.9241575627615,0.31567148667263345,179.61052340657142,1739366993464
138.2075790072724,-473.02437901341324,360.28625611208264,179.92419157468947,0.31568517610603936,179.61051673530142,1739366993473
138.20767879517723,-473.02437142500503,360.2861997521223,179.9241848414118,0.3156783471295482,179.61054388991698,1739366993480
138.20766634519347,-473.02434600990586,360.2862559194783,179.92419155510504,0.31567157917939165,179.61053033225187,1739366993488
138.2076663290158,-473.0243966348353,360.28614339216034,179.92417792084805,0.31567147317275385,179.6105234547554,1739366993496
138.20759730618622,-473.0244379105285,360.2862812839939,179.92420517991147,0.31566473670141876,179.61053034116907,1739366993504
138.20767834937263,-473.024421716669,360.28628147659526,179.92420519949752,0.3156783336280513,179.610537139633,1739366993512
138.20766534744683,-473.0244713956772,360.28622614325906,179.92421878668233,0.31567145792567186,179.610537073323,1739366993520
138.20774633757,-473.0244676030165,360.2861297232696,179.92421189541113,0.3156849672554457,179.61052339905626,1739366993528
138.20762056209324,-473.0246386545404,360.2862506041291,179.9242526767934,0.3156781057511966,179.61050986279272,1739366993536
138.2076770980715,-473.02453374005296,360.28618479438956,179.92423911702537,0.31567815563089946,179.6105234134474,1739366993544
138.2076888569325,-473.0246855020239,360.2862623693865,179.9242594852401,0.31568485674728897,179.6105166665118,1739366993553
138.2075647784115,-473.02457950845206,360.28633554777446,179.92425263916275,0.3156782048518305,179.61049633753947,1739366993560
138.2076212982096,-473.02452521891297,360.2861572106751,179.92422540767956,0.315678139734615,179.61049621212842,1739366993568
138.2076769219994,-473.0245467690866,360.28644595224404,179.92426627358972,0.3156782689232322,179.61051681365095,1739366993576
138.20762103217902,-473.02451242548335,360.2863376706644,179.92425263899358,0.3156782467814089,179.61050313433722,1739366993585
138.20756457793172,-473.024553744852,360.28636525439055,179.92426619850994,0.3156782267214428,179.61048954444496,1739366993592
138.20760829189229,-473.0245501543426,360.28640550701505,179.92426626371656,0.31567145834526583,179.61050997761154,1739366993601
138.20762086858275,-473.0245248856097,360.28635146252674,179.92425940002306,0.31567823225749836,179.61049633934246,1739366993608
138.20756474152947,-473.0245412847273,360.28635146252674,179.92425940002306,0.31567823225749836,179.6104895408721,1739366993620
138.20762068071105,-473.0246132831575,360.2861964633469,179.924245765852,0.31567807220820865,179.610489425952,1739366993628
138.2076327460436,-473.02465127619206,360.28637489677277,179.9242729322079,0.31568491781868996,179.610482752703,1739366993636
138.2076450854984,-473.0246767501864,360.2864291338698,179.92427985294162,0.3156917498161138,179.61050318955014,1739366993644
138.2075770117199,-473.02462978490905,360.2861965596498,179.92424581309837,0.3156848796602161,179.61048942605086,1739366993653
138.20760189110314,-473.02470649653225,360.2862753271962,179.92424572063132,0.31569843192061825,179.61046910715373,1739366993660
138.2075332690781,-473.0246845692899,360.2862911456593,179.92425254662137,0.31569167884109534,179.61046910915127,1739366993668
138.2076581898641,-473.02465232480534,360.28631779902855,179.9242457580044,0.3156984949535294,179.6104827400841,1739366993676
138.20761463948907,-473.02464345518644,360.2862637545521,179.92423893176186,0.315705277847175,179.61046910190663,1739366993684
138.20761475810994,-473.024618083805,360.2862096137713,179.92423213319245,0.3157052712661426,179.61046906076552,1739366993692
138.20767075846263,-473.02465236853186,360.28620749086343,179.92423213336164,0.3157052293365649,179.61047586090854,1739366993700
138.20762743285187,-473.0245933250838,360.2862925308294,179.92423214297486,0.31571213588836805,179.61046913422285,1739366993708
138.20765860687962,-473.0245384969743,360.2863082529673,179.92423892171936,0.31569857535764845,179.61047593459594,1739366993716
138.20767110993063,-473.02455151084746,360.2863486982005,179.9242388941279,0.315705376946169,179.61046917359408,1739366993724
138.207615256998,-473.02455539093705,360.2862245018849,179.92421842375026,0.3157053094019353,179.61044869380282,1739366993733
138.20760263532765,-473.02456774843756,360.28623819743245,179.9242253248323,0.3156985323806757,179.61046909308266,1739366993740
138.20767151076265,-473.02448830796277,360.28622662478085,179.92421846104165,0.31570536032342406,179.61046228916823,1739366993749
